locality,ward_name,avg_rate_psf
Attibele,NA,3500
Hoskote,NA,3800
Chandapura,NA,3800
Bagalur Main Road,Jakkuru,4200
Electronic City,NA,4200
Kengeri Sat. Town,Kengeri,4300
Kengeri,Kengeri,4400
Kaggadasapura,Vijnana Nagar,4400
Horamavu Agara,Horamavu,4400
Vidyaranyapura,Vidyaranyapura,4500
Rajarajeshwari Nagar,Rajarajeshwari Nagar,4600
Gunjur,Varthuru,4700
Horamavu,Horamavu,4700
Ramamurthy Nagar,Ramamurthy Nagar,4800
Kadugodi,Kadugodi,4900
Hosa Road,HSR - Singasandra,5700
Budigere,NA,5700
Gottigere,Gottigere,5800
K R Puram,Krishnarajapuram,5800
Bilekahalli,Bilekahalli,5900
Mysore Road,Bapuji Nagar,6000
JP Nagar 9th Phase,Anjanapura,6000
Budigere Cross,NA,6000
Begur Road,Begur,6200
Rachenahalli,Thanisandra,6300
Sarjapur Road,Bellanduru,6300
Vijayanagara,Vijayanagar,6300
Thanisandra,Thanisandra,6400
Bellary Road,Kodigehalli,6500
Banashankari Stage 3,Rajarajeshwari Nagar,6800
Hosur Road,Bommanahalli,7200
HSR Layout,HSR - Singasandra,7200
Marathahalli-Sarjapur Rd,Doddakanahalli,7400
Magadi Road,Herohalli,8500
JP Nagar Phase 6,Jaraganahalli,8900
Konanakunte,Konanakunte,9000
Hebbal Kempapura,Byatarayanapura,9300
Yemalur,Marathahalli,9400
RMV Extension Stage 2,Radhakrishna Temple Ward,9500
Yeshwantpur,Chanakya,9500
Hebbal,Hebbala,9600
Banashankari,Banashankari Temple ward,9600
Binnipete,Binnipete,9800
Frazer Town,Pulikeshinagar,10200
Basavanagudi,Basavanagudi,10700
Jayanagar,Byrasandra,11300
Indira Nagar,Hoysala Nagar,11800
Indira Nagar,Domlur,11800
Indira Nagar,Jogupalya,11800
Indira Nagar,Jeevanbhima Nagar,11800
